cycle,discharge_cap_Ah,charge_cap_Ah,coulombic_eff_pct,energy_eff_pct,dcir_mohm
135,2.7869,2.796,99.671,94.866,33.22
136,2.7864,2.7964,99.643,94.837,33.24
137,2.7851,2.794,99.684,94.875,33.26
138,2.7827,2.7929,99.635,94.828,33.29
139,2.7821,2.7904,99.702,94.89,33.31
140,2.7787,2.7887,99.642,94.835,33.34
141,2.7773,2.7862,99.681,94.871,33.36
142,2.7725,2.7821,99.655,94.851,33.38
143,2.7769,2.7875,99.619,94.806,33.41
144,2.7759,2.7854,99.659,94.842,33.43
145,2.7704,2.7802,99.649,94.839,33.46
146,2.767,2.7774,99.625,94.819,33.48
147,2.772,2.7827,99.615,94.797,33.5
148,2.7705,2.7806,99.639,94.819,33.53
149,2.7673,2.7773,99.642,94.824,33.55
150,2.7596,2.77,99.623,94.816,33.58
151,2.7627,2.7737,99.605,94.79,33.6
152,2.7582,2.7679,99.651,94.838,33.62
153,2.7581,2.7695,99.588,94.775,33.65
154,2.7565,2.7658,99.665,94.847,33.67
155,2.7554,2.7646,99.666,94.848,33.7
156,2.7577,2.7677,99.639,94.814,33.72
157,2.7511,2.7622,99.599,94.784,33.74
158,2.7517,2.761,99.664,94.841,33.77
159,2.7508,2.7603,99.653,94.83,33.79
160,2.7479,2.7577,99.645,94.824,33.82
161,2.7463,2.7566,99.626,94.805,33.84
162,2.7432,2.7546,99.588,94.771,33.86
163,2.7433,2.7542,99.602,94.78,33.89
164,2.7408,2.7503,99.655,94.831,33.91
165,2.741,2.7486,99.722,94.892,33.94
166,2.7414,2.752,99.615,94.786,33.96
167,2.7397,2.7494,99.644,94.813,33.98
168,2.7353,2.7445,99.666,94.838,34.01
169,2.7337,2.7463,99.541,94.719,34.03
170,2.7352,2.7458,99.614,94.782,34.06
171,2.735,2.7456,99.613,94.778,34.08
172,2.7284,2.7372,99.678,94.848,34.1
173,2.7271,2.737,99.637,94.808,34.13
174,2.7304,2.7404,99.634,94.797,34.15
175,2.726,2.736,99.633,94.8,34.18
176,2.7262,2.737,99.606,94.77,34.2
177,2.7243,2.734,99.647,94.809,34.22
178,2.7261,2.7365,99.619,94.776,34.25
179,2.7184,2.7279,99.651,94.817,34.27
180,2.7179,2.7278,99.637,94.801,34.3
181,2.7174,2.7266,99.663,94.823,34.32
182,2.7144,2.7246,99.625,94.789,34.34
183,2.7093,2.7202,99.6,94.771,34.37
184,2.7156,2.7263,99.606,94.763,34.39
185,2.7099,2.721,99.59,94.754,34.42
186,2.7108,2.7208,99.631,94.788,34.44
187,2.7059,2.7156,99.646,94.807,34.46
188,2.7072,2.7168,99.648,94.804,34.49
189,2.704,2.7128,99.677,94.834,34.51
190,2.7045,2.7148,99.621,94.776,34.54
191,2.7013,2.7117,99.617,94.774,34.56
192,2.7024,2.7128,99.616,94.768,34.58
193,2.7013,2.7111,99.641,94.791,34.61
194,2.7003,2.7099,99.647,94.795,34.63
195,2.6962,2.708,99.565,94.721,34.66
196,2.6954,2.705,99.646,94.796,34.68
197,2.6936,2.7034,99.638,94.789,34.7
198,2.691,2.7015,99.61,94.763,34.73
199,2.6886,2.6977,99.662,94.813,34.75
200,2.6892,2.6998,99.606,94.756,34.78
201,2.6849,2.6953,99.615,94.769,34.8
202,2.6887,2.6985,99.633,94.777,34.82
203,2.6831,2.6922,99.662,94.81,34.85
204,2.6857,2.6952,99.648,94.789,34.87
205,2.683,2.6923,99.653,94.795,34.9
206,2.6811,2.6907,99.641,94.784,34.92
207,2.6771,2.6862,99.663,94.808,34.94
208,2.6775,2.6862,99.678,94.819,34.97
209,2.6718,2.6815,99.638,94.788,34.99
210,2.676,2.6866,99.606,94.747,35.02
211,2.6735,2.6832,99.638,94.779,35.04
212,2.6723,2.683,99.599,94.741,35.06
213,2.6695,2.679,99.646,94.786,35.09
214,2.6707,2.6809,99.618,94.754,35.11
215,2.6669,2.6771,99.62,94.76,35.14
216,2.6673,2.6785,99.582,94.72,35.16
217,2.6614,2.6716,99.617,94.761,35.18
218,2.6603,2.6711,99.596,94.739,35.21
219,2.6611,2.6711,99.627,94.764,35.23
220,2.6575,2.6672,99.636,94.776,35.26
221,2.6547,2.6646,99.628,94.77,35.28
222,2.6536,2.665,99.573,94.717,35.3
223,2.6563,2.667,99.599,94.733,35.33
224,2.6522,2.6629,99.597,94.736,35.35
225,2.653,2.6635,99.609,94.742,35.38
226,2.6507,2.6602,99.642,94.774,35.4
227,2.6479,2.6587,99.595,94.732,35.42
228,2.6468,2.6563,99.644,94.777,35.45
229,2.6482,2.6575,99.647,94.774,35.47
230,2.6448,2.6553,99.604,94.735,35.5
231,2.645,2.6557,99.596,94.725,35.52
232,2.6435,2.6533,99.629,94.756,35.54
233,2.6392,2.6497,99.605,94.737,35.57
234,2.6389,2.6479,99.659,94.786,35.59
235,2.6424,2.6529,99.603,94.724,35.62
236,2.6362,2.6484,99.538,94.669,35.64
237,2.6351,2.6455,99.605,94.732,35.66
238,2.6313,2.6411,99.629,94.758,35.69
239,2.6289,2.6395,99.598,94.73,35.71
240,2.6306,2.6421,99.567,94.694,35.74
241,2.6305,2.6401,99.636,94.756,35.76
242,2.6249,2.6365,99.561,94.693,35.78
243,2.6271,2.6376,99.602,94.724,35.81
244,2.6224,2.6331,99.594,94.722,35.83
245,2.623,2.6335,99.598,94.722,35.86
246,2.6232,2.6334,99.614,94.733,35.88
247,2.6235,2.6329,99.643,94.757,35.9
248,2.6201,2.6297,99.634,94.751,35.93
249,2.6198,2.6297,99.622,94.737,35.95
250,2.6137,2.6235,99.626,94.749,35.98
251,2.6146,2.6239,99.649,94.766,36.0
252,2.6132,2.6233,99.615,94.734,36.02
253,2.6122,2.6214,99.65,94.765,36.05
254,2.6105,2.6212,99.591,94.709,36.07
255,2.6093,2.6202,99.585,94.702,36.1
256,2.6076,2.6181,99.598,94.714,36.12
257,2.6064,2.6154,99.655,94.768,36.14
258,2.6037,2.6142,99.598,94.716,36.17
259,2.6027,2.6127,99.617,94.732,36.19
260,2.5994,2.6105,99.576,94.696,36.22
261,2.6001,2.6102,99.612,94.726,36.24
262,2.5986,2.6096,99.581,94.695,36.26
263,2.5957,2.6059,99.611,94.726,36.29
264,2.5985,2.6088,99.604,94.712,36.31
265,2.5948,2.605,99.608,94.719,36.34
266,2.5913,2.6021,99.585,94.7,36.36
267,2.5911,2.6014,99.602,94.714,36.38
268,2.5901,2.6016,99.557,94.67,36.41
269,2.5908,2.6,99.644,94.748,36.43
270,2.5868,2.5971,99.604,94.715,36.46
271,2.5864,2.5964,99.616,94.723,36.48
272,2.5818,2.5911,99.64,94.752,36.5
273,2.5822,2.5918,99.629,94.737,36.53
274,2.5818,2.5927,99.579,94.687,36.55
275,2.58,2.5899,99.617,94.724,36.58
276,2.5772,2.5881,99.579,94.689,36.6
277,2.5765,2.5885,99.538,94.649,36.62
278,2.5783,2.5885,99.607,94.707,36.65
279,2.5745,2.5842,99.624,94.728,36.67
280,2.5714,2.5821,99.586,94.695,36.7
281,2.5748,2.5847,99.617,94.715,36.72
282,2.5663,2.5795,99.488,94.604,36.74
283,2.567,2.5768,99.619,94.725,36.77
284,2.5666,2.5774,99.58,94.685,36.79
285,2.5671,2.5785,99.56,94.662,36.82
286,2.565,2.5751,99.61,94.71,36.84
287,2.5641,2.5744,99.597,94.697,36.86
288,2.5607,2.571,99.601,94.703,36.89
289,2.5596,2.5693,99.624,94.724,36.91
290,2.5636,2.5749,99.562,94.655,36.94
291,2.5537,2.5647,99.571,94.679,36.96
292,2.5569,2.5667,99.615,94.712,36.98
293,2.5567,2.568,99.56,94.656,37.01
294,2.552,2.5617,99.621,94.72,37.03
295,2.55,2.5599,99.615,94.715,37.06
296,2.5502,2.5603,99.605,94.702,37.08
297,2.5504,2.5605,99.605,94.699,37.1
298,2.5492,2.5607,99.552,94.647,37.13
299,2.5469,2.5576,99.581,94.677,37.15
300,2.5455,2.5553,99.617,94.711,37.18
